-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1984 through 11/10/2024 
Location: Latitude  12.9794   Longitude 77.7228 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE            MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE            MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M                  MERRA-2 Wind Direction at 50 Meters (Degrees) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS10M,WS10M_RANGE,WS50M_RANGE,WD50M,QV2M,RH2M,PRECTOTCORR,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,TS,T2M_RANGE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,PS
1984,1,1,5.27,5.02,4.52,123.19,13.06,80.69,0.02,-999.0,20.48,16.83,20.98,6.88,4.42,93.4,5.24,91.98
1984,1,2,3.88,2.27,3.09,147.56,12.21,74.19,0.04,-999.0,21.33,15.71,22.56,11.78,4.93,100.7,5.47,91.96
1984,1,3,2.59,4.79,7.11,116.81,12.57,73.5,0.0,-999.0,22.13,16.19,23.83,13.09,4.83,99.2,5.42,92.0
1984,1,4,4.23,1.99,2.45,107.44,11.6,71.44,0.0,-999.0,21.37,14.93,22.66,12.02,4.51,93.7,5.34,92.09
1984,1,5,4.12,2.02,2.43,113.0,11.9,72.0,0.0,-999.0,21.58,15.27,22.94,12.38,5.32,108.5,5.46,91.99
1984,1,6,3.61,3.12,3.13,108.81,12.57,72.81,0.0,-999.0,22.19,16.19,23.65,12.12,5.5,111.7,5.73,91.94
1984,1,7,4.19,2.96,2.88,113.75,12.21,73.0,0.0,-999.0,21.57,15.69,22.82,11.37,5.27,108.6,5.53,91.89
1984,1,8,4.39,2.89,1.52,105.56,11.78,74.0,0.0,-999.0,20.47,15.21,21.48,9.23,5.3,107.6,5.59,91.96
1984,1,9,4.3,1.91,3.21,93.94,10.93,69.38,0.0,-999.0,20.9,13.94,22.23,12.57,5.34,107.7,5.63,91.87
1984,1,10,4.18,3.2,4.33,93.56,11.9,72.12,0.0,-999.0,21.31,15.31,22.83,12.2,4.64,95.5,5.63,91.82
1984,1,11,4.39,5.9,6.09,70.12,9.58,63.88,0.0,-999.0,20.44,11.94,21.56,14.83,4.71,97.6,5.4,91.93
1984,1,12,4.92,3.03,2.54,79.88,10.99,68.94,0.0,-999.0,20.95,14.09,22.14,13.14,3.44,74.5,5.51,91.95
1984,1,13,5.16,3.48,2.66,79.5,10.74,68.94,0.01,-999.0,20.65,13.69,21.83,12.93,3.5,75.6,5.42,91.79
1984,1,14,3.88,3.22,2.84,99.38,10.25,69.06,0.15,-999.0,19.8,12.93,20.7,11.96,4.88,101.8,5.45,91.62
1984,1,15,3.84,4.15,3.75,120.94,12.45,74.38,1.43,-999.0,21.77,15.98,23.12,13.59,4.35,91.9,5.46,91.63
1984,1,16,3.87,1.28,2.83,131.62,13.73,76.5,1.35,-999.0,22.62,17.56,24.19,11.56,3.84,81.4,5.68,91.67
1984,1,17,3.16,2.59,3.58,120.12,13.49,73.06,0.52,-999.0,23.21,17.23,24.65,11.69,5.14,105.4,5.66,91.57
1984,1,18,4.11,3.26,3.08,115.25,13.12,72.75,0.35,-999.0,22.89,16.76,24.34,11.7,4.01,84.5,5.72,91.53
1984,1,19,3.73,3.33,2.34,127.06,13.0,73.25,0.24,-999.0,22.51,16.64,23.98,11.73,4.97,102.6,5.51,91.52
1984,1,20,2.84,2.52,3.77,134.56,12.88,70.94,0.02,-999.0,23.03,16.54,24.99,12.66,5.37,110.2,5.73,91.57
1984,1,21,2.84,1.9,2.86,154.0,13.24,70.56,0.0,-999.0,23.39,16.96,25.12,11.41,5.36,109.6,5.77,91.55
1984,1,22,2.61,2.41,4.66,160.69,12.27,69.31,0.0,-999.0,22.28,15.77,24.1,11.27,5.36,108.9,5.68,91.56
1984,1,23,2.49,4.79,7.21,135.12,10.99,65.38,0.0,-999.0,22.15,14.05,24.44,14.88,5.93,117.1,5.92,91.63
1984,1,24,4.18,2.67,4.7,119.75,10.5,64.44,0.0,-999.0,21.83,13.33,23.61,13.62,5.53,109.3,5.53,91.81
1984,1,25,4.48,3.91,5.05,100.44,9.64,63.44,0.0,-999.0,20.89,11.93,22.28,13.94,5.9,117.8,5.68,91.87
1984,1,26,4.5,3.0,4.23,102.81,9.7,64.06,0.0,-999.0,21.09,11.94,22.62,15.23,6.09,122.5,5.82,91.86
1984,1,27,4.77,3.34,3.73,102.75,9.89,63.56,0.0,-999.0,21.24,12.29,22.7,14.18,5.6,112.1,5.62,91.85
1984,1,28,3.73,4.07,6.35,105.5,9.52,61.38,0.0,-999.0,21.97,11.31,23.83,16.64,3.84,81.0,5.8,91.76
1984,1,29,4.41,3.5,3.22,121.75,12.08,70.38,1.61,-999.0,22.26,15.48,23.91,12.87,4.98,102.4,5.92,91.68
1984,1,30,4.77,3.47,4.05,109.31,11.23,66.0,0.21,-999.0,22.16,14.33,23.4,11.83,3.68,77.9,5.99,91.71
1984,1,31,5.07,2.83,3.02,111.38,10.8,65.31,0.11,-999.0,21.9,13.77,23.55,13.59,5.69,116.2,6.09,91.77
1984,2,1,4.43,3.11,2.55,103.56,10.44,66.5,0.0,-999.0,20.77,13.25,21.99,11.95,4.29,89.3,5.96,91.76
1984,2,2,4.29,4.9,3.71,89.5,8.67,58.25,0.0,-999.0,20.83,9.8,22.1,13.78,5.92,119.4,5.96,91.71
1984,2,3,3.44,2.62,3.19,95.75,10.86,70.06,0.0,-999.0,20.37,13.86,21.48,14.71,5.29,108.5,6.0,91.64
1984,2,4,3.94,4.77,4.3,81.12,11.17,66.62,0.0,-999.0,21.83,14.33,23.25,13.52,4.74,98.7,5.93,91.56
1984,2,5,5.09,4.63,4.62,82.44,10.56,62.62,0.03,-999.0,22.02,13.37,23.3,13.8,4.3,89.9,6.08,91.47
1984,2,6,5.58,4.95,5.11,79.0,12.88,73.0,2.43,-999.0,22.17,16.51,23.69,11.66,1.93,42.7,6.1,91.52
1984,2,7,5.38,4.25,3.31,100.44,13.67,77.44,4.71,-999.0,22.19,17.46,23.72,12.45,2.3,50.6,6.12,91.53
1984,2,8,4.48,2.77,2.78,101.25,13.61,75.12,1.62,-999.0,22.76,17.42,24.41,12.33,3.36,72.1,6.13,91.57
1984,2,9,4.56,2.76,2.6,99.62,12.21,67.62,0.3,-999.0,23.17,15.68,24.87,13.99,4.86,99.6,5.88,91.64
1984,2,10,3.97,3.8,5.69,114.19,11.72,65.12,0.22,-999.0,23.39,14.89,25.4,14.0,5.87,117.3,6.01,91.58
1984,2,11,4.1,3.57,5.42,115.12,12.08,65.0,0.0,-999.0,23.76,15.44,25.85,14.17,5.61,113.5,6.02,91.55
1984,2,12,4.57,4.32,3.21,89.19,13.67,73.31,0.29,-999.0,23.21,17.47,24.87,11.87,4.62,96.5,6.13,91.6
1984,2,13,3.73,4.76,5.76,83.0,14.65,80.56,3.64,-999.0,22.32,18.58,22.89,6.3,2.67,58.2,6.27,91.55
1984,2,14,6.2,5.09,6.82,53.88,13.61,84.25,17.51,-999.0,20.25,17.42,20.6,6.01,2.41,53.1,6.29,91.71
1984,2,15,4.36,3.09,3.45,86.31,12.27,75.69,2.7,-999.0,20.87,15.76,22.23,12.13,3.41,72.8,6.31,91.73
1984,2,16,3.84,2.84,2.48,102.88,13.73,76.75,3.97,-999.0,22.51,17.51,24.13,13.06,2.84,61.6,6.34,91.7
1984,2,17,4.01,2.77,2.86,110.31,13.92,75.56,5.54,-999.0,23.07,17.74,24.77,11.73,4.33,90.9,6.33,91.7
1984,2,18,4.34,2.08,2.34,132.94,14.04,75.44,3.06,-999.0,23.15,17.9,24.91,11.07,4.98,103.8,6.35,91.75
1984,2,19,3.8,3.23,2.85,160.0,14.47,74.19,0.14,-999.0,24.01,18.37,25.89,12.19,5.5,112.4,6.32,91.72
1984,2,20,3.48,2.83,3.85,154.62,13.73,72.25,0.0,-999.0,23.34,17.58,24.8,9.57,4.86,101.0,6.31,91.8
1984,2,21,3.74,3.06,4.52,131.19,13.0,67.56,0.0,-999.0,24.16,16.73,26.18,13.45,5.21,107.6,6.46,91.79
1984,2,22,3.61,4.58,5.36,122.75,10.74,60.94,0.0,-999.0,23.63,13.49,25.4,15.59,6.4,128.1,6.46,91.77
1984,2,23,3.82,3.77,6.39,114.12,10.19,58.88,0.0,-999.0,23.48,12.68,25.14,16.91,6.39,128.5,6.48,91.8
1984,2,24,4.44,4.54,5.58,103.81,10.38,60.56,0.0,-999.0,23.1,13.01,24.87,16.76,6.43,128.3,6.52,91.78
1984,2,25,5.22,3.24,3.16,106.75,11.6,64.88,0.0,-999.0,23.12,14.83,24.87,13.7,6.94,140.0,6.77,91.82
1984,2,26,5.04,5.36,4.69,80.88,11.17,63.94,0.0,-999.0,22.88,14.35,24.58,14.73,5.34,110.6,6.66,91.82
1984,2,27,4.96,5.45,5.34,78.19,9.46,57.62,0.0,-999.0,22.22,11.52,23.69,14.84,6.23,126.4,6.29,91.82
1984,2,28,5.24,4.66,3.87,78.0,10.01,62.0,0.0,-999.0,21.02,12.47,21.84,11.27,6.9,139.6,6.51,91.78
1984,2,29,5.02,5.17,3.78,85.06,9.52,56.38,0.0,-999.0,22.61,11.73,23.89,14.59,5.57,114.5,6.1,91.84
1984,3,1,4.9,6.27,5.2,83.5,7.57,49.56,0.0,-999.0,22.06,7.76,23.26,16.86,6.62,132.3,6.71,91.94
1984,3,2,5.08,4.98,3.66,89.56,7.69,48.56,0.0,-999.0,22.24,8.24,23.6,16.88,6.18,126.7,6.49,91.91
1984,3,3,4.8,5.53,4.53,100.06,10.01,61.19,0.01,-999.0,22.26,12.05,23.85,16.02,5.81,119.4,6.63,91.89
1984,3,4,4.69,5.52,5.61,109.38,11.35,65.81,0.24,-999.0,22.46,14.56,24.18,14.42,3.25,70.4,6.63,91.87
1984,3,5,4.05,3.98,3.61,96.38,11.66,74.62,10.28,-999.0,19.8,15.04,20.54,6.85,5.27,109.5,6.65,91.82
1984,3,6,4.55,3.2,3.66,102.06,13.0,85.94,41.79,-999.0,19.12,16.66,19.35,6.45,3.36,72.1,6.68,91.69
1984,3,7,4.75,2.89,2.09,104.44,12.02,75.31,1.88,-999.0,20.25,15.46,20.84,9.94,5.28,110.7,6.43,91.71
1984,3,8,2.09,1.57,4.44,111.31,11.35,67.12,1.08,-999.0,21.94,14.55,22.89,12.9,4.9,102.6,6.74,91.74
1984,3,9,1.82,2.04,5.07,149.69,11.29,62.44,0.31,-999.0,23.14,14.43,23.82,13.79,5.98,123.4,6.43,91.69
1984,3,10,2.55,3.13,7.38,152.94,10.5,55.06,0.07,-999.0,24.48,13.25,26.08,16.16,6.35,128.5,6.73,91.65
1984,3,11,2.57,1.42,4.45,162.38,11.29,56.31,0.0,-999.0,25.18,14.4,26.73,14.94,6.74,135.0,6.82,91.71
